yearID,playerID,SO,nameFirst,nameLast,fullName
1871,woltery01,8.0,Rynie,Wolters,Rynie Wolters
1872,cummica01,14.0,Candy,Cummings,Candy Cummings
1873,brittji01,14.0,Jim,Britt,Jim Britt
1874,barnibi01,13.0,Billy,Barnie,Billy Barnie
1875,dehlmhe01,21.0,Herman,Dehlman,Herman Dehlman
1876,ryanjo01,23.0,Johnny,Ryan,Johnny Ryan
1877,brownle01,33.0,Lew,Brown,Lew Brown
1878,whitewi01,41.0,Will,White,Will White
1879,galvipu01,56.0,Pud,Galvin,Pud Galvin
1880,galvipu01,57.0,Pud,Galvin,Pud Galvin
1881,galvipu01,70.0,Pud,Galvin,Pud Galvin
1882,flintsi01,50.0,Silver,Flint,Silver Flint
1883,galvipu01,79.0,Pud,Galvin,Pud Galvin
1884,wisesa01,104.0,Sam,Wise,Sam Wise
1885,bastich01,82.0,Charlie,Bastian,Charlie Bastian
1886,seeryem01,82.0,Emmett,Seery,Emmett Seery
1887,morrijo01,86.0,John,Morrill,John Morrill
1888,dennyje01,79.0,Jerry,Denny,Jerry Denny
1889,duffech01,81.0,Charlie,Duffee,Charlie Duffee
1890,brownto01,87.0,Tom,Brown,Tom Brown
1891,brownto01,96.0,Tom,Brown,Tom Brown
1892,brownto01,94.0,Tom,Brown,Tom Brown
1893,dalyto01,65.0,Tom,Daly,Tom Daly
1894,brownto01,74.0,Tom,Brown,Tom Brown
1895,joycebi01,56.0,Bill,Joyce,Bill Joyce
1896,mccreto01,58.0,Tom,McCreery,Tom McCreery
1897,brownto01,63.0,Tom,Brown,Tom Brown
1898,clingbi01,60.0,Billy,Clingman,Billy Clingman
1899,holmedu01,58.0,Ducky,Holmes,Ducky Holmes
1900,barreji01,63.0,Jimmy,Barrett,Jimmy Barrett
1901,crossmo01,91.0,Monte,Cross,Monte Cross
1902,floodti01,70.0,Tim,Flood,Tim Flood
1903,pickeol01,75.0,Ollie,Pickering,Ollie Pickering
1904,lumleha01,106.0,Harry,Lumley,Harry Lumley
1905,hoffmda01,105.0,Danny,Hoffman,Danny Hoffman
1906,malonbi01,116.0,Billy,Maloney,Billy Maloney
1907,hoffmda01,103.0,Danny,Hoffman,Danny Hoffman
1908,ballne01,91.0,Neal,Ball,Neal Ball
1909,stahlja01,94.0,Jake,Stahl,Jake Stahl
1910,stahlja01,128.0,Jake,Stahl,Jake Stahl
1911,beschbo01,78.0,Bob,Bescher,Bob Bescher
1912,mcdoned02,91.0,Ed,McDonald,Ed McDonald
1913,moellda01,103.0,Danny,Moeller,Danny Moeller
1914,willigu02,120.0,Gus,Williams,Gus Williams
1915,mccanja01,99.0,Jack,McCandless,Jack McCandless
1916,cravaga01,89.0,Gavvy,Cravath,Gavvy Cravath
1917,willicy01,78.0,Cy,Williams,Cy Williams
1918,ruthba01,58.0,Babe,Ruth,Babe Ruth
