yearID,playerID,SO
1871,Rynie Wolters,8.0
1872,Candy Cummings,14.0
1873,Candy Cummings,14.0
1874,Candy Cummings,14.0
1875,Herman Dehlman,21.0
1876,Johnny Ryan,23.0
1877,Lew Brown,33.0
1878,Will White,41.0
1879,Pud Galvin,56.0
1880,Pud Galvin,57.0
1881,Pud Galvin,70.0
1882,Pud Galvin,70.0
1883,Pud Galvin,79.0
1884,Sam Wise,104.0
1885,Sam Wise,104.0
1886,Sam Wise,104.0
1887,Sam Wise,104.0
1888,Sam Wise,104.0
1889,Sam Wise,104.0
1890,Sam Wise,104.0
1891,Sam Wise,104.0
1892,Sam Wise,104.0
1893,Sam Wise,104.0
1894,Sam Wise,104.0
1895,Sam Wise,104.0
1896,Sam Wise,104.0
1897,Sam Wise,104.0
1898,Sam Wise,104.0
1899,Sam Wise,104.0
1900,Sam Wise,104.0
1901,Sam Wise,104.0
1902,Sam Wise,104.0
1903,Sam Wise,104.0
1904,Harry Lumley,106.0
1905,Harry Lumley,106.0
1906,Billy Maloney,116.0
1907,Billy Maloney,116.0
1908,Billy Maloney,116.0
1909,Billy Maloney,116.0
1910,Jake Stahl,128.0
1911,Jake Stahl,128.0
1912,Jake Stahl,128.0
1913,Jake Stahl,128.0
1914,Jake Stahl,128.0
1915,Jake Stahl,128.0
1916,Jake Stahl,128.0
1917,Jake Stahl,128.0
1918,Jake Stahl,128.0
1919,Jake Stahl,128.0
1920,Jake Stahl,128.0
1921,Jake Stahl,128.0
1922,Jake Stahl,128.0
1923,Jake Stahl,128.0
1924,Jake Stahl,128.0
1925,Jake Stahl,128.0
1926,Jake Stahl,128.0
1927,Jake Stahl,128.0
1928,Jake Stahl,128.0
1929,Jake Stahl,128.0
1930,Jake Stahl,128.0
1931,Jake Stahl,128.0
1932,Jake Stahl,128.0
1933,Jake Stahl,128.0
1934,Jake Stahl,128.0
1935,Jake Stahl,128.0
1936,Jake Stahl,128.0
1937,Jake Stahl,128.0
1938,Vince DiMaggio,134.0
1939,Vince DiMaggio,134.0
1940,Vince DiMaggio,134.0
1941,Vince DiMaggio,134.0
1942,Vince DiMaggio,134.0
1943,Vince DiMaggio,134.0
1944,Vince DiMaggio,134.0
1945,Vince DiMaggio,134.0
1946,Vince DiMaggio,134.0
1947,Vince DiMaggio,134.0
1948,Vince DiMaggio,134.0
1949,Vince DiMaggio,134.0
1950,Vince DiMaggio,134.0
1951,Vince DiMaggio,134.0
1952,Vince DiMaggio,134.0
1953,Vince DiMaggio,134.0
1954,Vince DiMaggio,134.0
1955,Vince DiMaggio,134.0
1956,Jim Lemon,138.0
1957,Jim Lemon,138.0
1958,Jim Lemon,138.0
1959,Jim Lemon,138.0
1960,Jim Lemon,138.0
1961,Jake Wood,141.0
1962,Harmon Killebrew,142.0
1963,Dave Nicholson,175.0
1964,Dave Nicholson,175.0
1965,Dave Nicholson,175.0
1966,Dave Nicholson,175.0
1967,Dave Nicholson,175.0
1968,Dave Nicholson,175.0
1969,Bobby Bonds,187.0
1970,Bobby Bonds,189.0
1971,Bobby Bonds,189.0
1972,Bobby Bonds,189.0
1973,Bobby Bonds,189.0
1974,Bobby Bonds,189.0
1975,Bobby Bonds,189.0
1976,Bobby Bonds,189.0
1977,Bobby Bonds,189.0
1978,Bobby Bonds,189.0
1979,Bobby Bonds,189.0
1980,Bobby Bonds,189.0
1981,Bobby Bonds,189.0
1982,Bobby Bonds,189.0
1983,Bobby Bonds,189.0
1984,Bobby Bonds,189.0
1985,Bobby Bonds,189.0
1986,Bobby Bonds,189.0
1987,Bobby Bonds,189.0
1988,Bobby Bonds,189.0
1989,Bobby Bonds,189.0
1990,Bobby Bonds,189.0
1991,Bobby Bonds,189.0
1992,Bobby Bonds,189.0
1993,Bobby Bonds,189.0
1994,Bobby Bonds,189.0
1995,Bobby Bonds,189.0
1996,Bobby Bonds,189.0
1997,Bobby Bonds,189.0
1998,Bobby Bonds,189.0
1999,Bobby Bonds,189.0
2000,Bobby Bonds,189.0
2001,Bobby Bonds,189.0
2002,Bobby Bonds,189.0
2003,Bobby Bonds,189.0
2004,Adam Dunn,195.0
2005,Adam Dunn,195.0
2006,Adam Dunn,195.0
2007,Ryan Howard,199.0
2008,Mark Reynolds,204.0
2009,Mark Reynolds,223.0
2010,Mark Reynolds,223.0
2011,Mark Reynolds,223.0
2012,Mark Reynolds,223.0
2013,Mark Reynolds,223.0
2014,Mark Reynolds,223.0
2015,Mark Reynolds,223.0
2016,Mark Reynolds,223.0
2017,Mark Reynolds,223.0
2018,Mark Reynolds,223.0
2019,Mark Reynolds,223.0
2020,Mark Reynolds,223.0
2021,Mark Reynolds,223.0
2022,Mark Reynolds,223.0
2023,Mark Reynolds,223.0
2024,Mark Reynolds,223.0
