yearID,SO
1871,175.0
1872,265.0
1873,278.0
1874,357.0
1875,675.0
1876,589.0
1877,726.0
1878,1081.0
1879,1843.0
1880,1993.0
1881,1784.0
1882,2159.0
1883,2877.0
1884,4335.0
1885,3337.0
1886,4248.0
1887,5924.0
1888,8213.0
1889,7669.0
1890,6587.0
1891,7656.0
1892,5972.0
1893,3341.0
1894,3333.0
1895,3621.0
1896,3523.0
1897,3729.0
1898,4223.0
1899,3849.0
1900,2681.0
1901,6976.0
1902,6630.0
1903,7899.0
1904,9299.0
1905,9523.0
1906,9110.0
1907,8836.0
1908,9078.0
1909,9377.0
1910,9677.0
1911,4798.0
1912,4627.0
1913,9283.0
1914,14757.0
1915,14020.0
1916,9534.0
1917,8680.0
1918,5925.0
1919,6849.0
1920,7247.0
1921,6959.0
1922,6950.0
1923,7021.0
1924,6637.0
1925,6665.0
1926,6777.0
1927,6889.0
1928,7099.0
1929,6982.0
1930,7934.0
1931,7894.0
1932,7878.0
1933,7444.0
1934,8432.0
1935,8004.0
1936,8235.0
1937,9001.0
1938,8335.0
1939,8501.0
1940,9049.0
1941,8826.0
1942,8325.0
1943,8546.0
1944,8185.0
1945,8045.0
1946,9696.0
1947,9157.0
1948,9016.0
1949,8951.0
1950,9554.0
1951,9335.0
1952,10380.0
1953,10213.0
1954,10215.0
1955,10803.0
1956,11505.0
1957,11948.0
1958,12225.0
1959,12604.0
1960,12815.0
1961,14947.0
1962,17567.0
1963,18773.0
1964,19212.0
1965,19283.0
1966,18805.0
1967,19413.0
1968,19143.0
1969,22473.0
1970,22374.0
1971,20956.0
1972,20718.0
1973,20358.0
1974,19495.0
1975,19280.0
1976,18745.0
1977,21722.0
1978,20058.0
1979,20035.0
1980,20212.0
1981,13237.0
1982,21221.0
1983,21716.0
1984,22500.0
1985,22451.0
1986,24706.0
1987,25099.0
1988,23355.0
1989,23650.0
1990,23853.0
1991,24390.0
1992,23538.0
1993,26310.0
1994,19766.0
1995,25425.0
1996,29308.0
1997,29937.0
1998,31893.0
1999,31119.0
2000,31356.0
2001,32404.0
2002,31394.0
2003,30801.0
2004,31828.0
2005,30644.0
2006,31655.0
2007,32189.0
2008,32884.0
2009,33591.0
2010,34306.0
2011,34488.0
2012,36426.0
2013,36710.0
2014,37441.0
2015,37446.0
2016,38982.0
2017,40104.0
2018,41207.0
2019,42823.0
2020,15586.0
2021,42145.0
2022,40812.0
2023,41843.0
