yearID,playerID,SO_player,nameFirst,nameLast,fullName,SO_league,SO_percentage
1871,woltery01,8.0,Rynie,Wolters,Rynie Wolters,175.0,4.571428571428571
1872,cummica01,14.0,Candy,Cummings,Candy Cummings,265.0,5.283018867924529
1873,brittji01,14.0,Jim,Britt,Jim Britt,278.0,5.0359712230215825
1874,barnibi01,13.0,Billy,Barnie,Billy Barnie,357.0,3.6414565826330536
1875,dehlmhe01,21.0,Herman,Dehlman,Herman Dehlman,675.0,3.111111111111111
1876,ryanjo01,23.0,Johnny,Ryan,Johnny Ryan,589.0,3.904923599320883
1877,brownle01,33.0,Lew,Brown,Lew Brown,726.0,4.545454545454546
1878,whitewi01,41.0,Will,White,Will White,1081.0,3.7927844588344124
1879,galvipu01,56.0,Pud,Galvin,Pud Galvin,1843.0,3.038524145415084
1880,galvipu01,57.0,Pud,Galvin,Pud Galvin,1993.0,2.8600100351229303
1881,galvipu01,70.0,Pud,Galvin,Pud Galvin,1784.0,3.923766816143498
1882,flintsi01,50.0,Silver,Flint,Silver Flint,2159.0,2.3158869847151458
1883,galvipu01,79.0,Pud,Galvin,Pud Galvin,2877.0,2.745915884602016
1884,wisesa01,104.0,Sam,Wise,Sam Wise,4335.0,2.3990772779700116
1885,bastich01,82.0,Charlie,Bastian,Charlie Bastian,3337.0,2.457296973329338
1886,seeryem01,82.0,Emmett,Seery,Emmett Seery,4248.0,1.9303201506591336
1887,morrijo01,86.0,John,Morrill,John Morrill,5924.0,1.4517218095881161
1888,dennyje01,79.0,Jerry,Denny,Jerry Denny,8213.0,0.9618896870814563
1889,duffech01,81.0,Charlie,Duffee,Charlie Duffee,7669.0,1.0562002868692137
1890,brownto01,87.0,Tom,Brown,Tom Brown,6587.0,1.320783361165933
1891,brownto01,96.0,Tom,Brown,Tom Brown,7729.0,1.2420753008151117
1892,brownto01,94.0,Tom,Brown,Tom Brown,5972.0,1.5740120562625586
1893,dalyto01,65.0,Tom,Daly,Tom Daly,3341.0,1.9455252918287937
1894,brownto01,74.0,Tom,Brown,Tom Brown,3333.0,2.22022202220222
1895,joycebi01,56.0,Bill,Joyce,Bill Joyce,3621.0,1.5465341066003866
1896,mccreto01,58.0,Tom,McCreery,Tom McCreery,3523.0,1.6463241555492478
1897,brownto01,63.0,Tom,Brown,Tom Brown,3729.0,1.6894609814963797
1898,clingbi01,60.0,Billy,Clingman,Billy Clingman,4223.0,1.4207909069381957
1899,holmedu01,58.0,Ducky,Holmes,Ducky Holmes,3849.0,1.506884905170174
1900,barreji01,63.0,Jimmy,Barrett,Jimmy Barrett,2681.0,2.3498694516971277
1901,crossmo01,91.0,Monte,Cross,Monte Cross,6976.0,1.3044724770642202
1902,floodti01,70.0,Tim,Flood,Tim Flood,6630.0,1.0558069381598794
1903,pickeol01,75.0,Ollie,Pickering,Ollie Pickering,7899.0,0.94948727687049
1904,lumleha01,106.0,Harry,Lumley,Harry Lumley,9299.0,1.139907516937305
1905,hoffmda01,105.0,Danny,Hoffman,Danny Hoffman,9523.0,1.1025937204662395
1906,malonbi01,116.0,Billy,Maloney,Billy Maloney,9110.0,1.2733260153677277
1907,hoffmda01,103.0,Danny,Hoffman,Danny Hoffman,8836.0,1.165685830692621
1908,ballne01,91.0,Neal,Ball,Neal Ball,9078.0,1.002423441286627
1909,stahlja01,94.0,Jake,Stahl,Jake Stahl,9377.0,1.0024528100671857
1910,stahlja01,128.0,Jake,Stahl,Jake Stahl,9677.0,1.322723984706004
1911,beschbo01,78.0,Bob,Bescher,Bob Bescher,4798.0,1.625677365568987
1912,mcdoned02,91.0,Ed,McDonald,Ed McDonald,4627.0,1.9667170953101363
1913,moellda01,103.0,Danny,Moeller,Danny Moeller,9283.0,1.1095551007217495
1914,willigu02,120.0,Gus,Williams,Gus Williams,14757.0,0.8131734092295182
1915,mccanja01,99.0,Jack,McCandless,Jack McCandless,14020.0,0.7061340941512125
1916,cravaga01,89.0,Gavvy,Cravath,Gavvy Cravath,9534.0,0.9335011537654709
1917,willicy01,78.0,Cy,Williams,Cy Williams,8680.0,0.8986175115207374
1918,ruthba01,58.0,Babe,Ruth,Babe Ruth,5925.0,0.9789029535864978
1919,powelra01,79.0,Ray,Powell,Ray Powell,6849.0,1.1534530588407068
1920,kellyge01,92.0,George,Kelly,George Kelly,7274.0,1.2647786637338465
1921,meusebo01,88.0,Bob,Meusel,Bob Meusel,7172.0,1.2269938650306749
1922,dykesji01,98.0,Jimmy,Dykes,Jimmy Dykes,7145.0,1.371588523442967
1923,ruthba01,93.0,Babe,Ruth,Babe Ruth,7080.0,1.3135593220338981
1924,ruthba01,81.0,Babe,Ruth,Babe Ruth,6935.0,1.1679884643114635
1925,hartnga01,77.0,Gabby,Hartnett,Gabby Hartnett,6665.0,1.1552888222055513
1926,lazzeto01,96.0,Tony,Lazzeri,Tony Lazzeri,7338.0,1.3082583810302535
1927,ruthba01,89.0,Babe,Ruth,Babe Ruth,6889.0,1.291914646537959
1928,wilsoha01,94.0,Hack,Wilson,Hack Wilson,7294.0,1.2887304633945709
1929,wilsoha01,83.0,Hack,Wilson,Hack Wilson,7075.0,1.1731448763250882
1930,wilsoha01,84.0,Hack,Wilson,Hack Wilson,8113.0,1.0353753235547885
1931,culloni02,86.0,Nick,Cullop,Nick Cullop,8018.0,1.0725866799700674
1932,campbbr01,102.0,Bruce,Campbell,Bruce Campbell,7966.0,1.280441877981421
1933,foxxji01,93.0,Jimmie,Foxx,Jimmie Foxx,7450.0,1.2483221476510067
1934,cliftha01,100.0,Harlond,Clift,Harlond Clift,8510.0,1.1750881316098707
1935,camildo01,113.0,Dolph,Camilli,Dolph Camilli,8142.0,1.3878653893392288
1936,foxxji01,119.0,Jimmie,Foxx,Jimmie Foxx,8276.0,1.4378927017883034
1937,dimagvi01,111.0,Vince,DiMaggio,Vince DiMaggio,9108.0,1.2187088274044795
1938,dimagvi01,134.0,Vince,DiMaggio,Vince DiMaggio,8515.0,1.5736934820904287
1939,camildo01,107.0,Dolph,Camilli,Dolph Camilli,8622.0,1.2410113662723266
1940,rossch01,127.0,Chet,Ross,Chet Ross,9183.0,1.3829903081781554
1941,camildo01,115.0,Dolph,Camilli,Dolph Camilli,9051.0,1.2705778367031266
1942,gordojo01,95.0,Joe,Gordon,Joe Gordon,8541.0,1.1122819341997425
1943,dimagvi01,126.0,Vince,DiMaggio,Vince DiMaggio,8601.0,1.4649459365190094
1944,seerepa01,99.0,Pat,Seerey,Pat Seerey,8239.0,1.2016021361815754
1945,seerepa01,97.0,Pat,Seerey,Pat Seerey,8131.0,1.1929651949329725
1946,kinerra01,109.0,Ralph,Kiner,Ralph Kiner,9756.0,1.117261172611726
1947,joosted01,110.0,Eddie,Joost,Eddie Joost,9191.0,1.1968229790011968
1948,seerepa01,94.0,Pat,Seerey,Pat Seerey,9059.0,1.03764212385473
1949,snidedu01,92.0,Duke,Snider,Duke Snider,8951.0,1.0278181208803485
1950,smallro01,114.0,Roy,Smalley,Roy Smalley,9554.0,1.193217500523341
1951,hodgegi01,99.0,Gil,Hodges,Gil Hodges,9335.0,1.0605249062667381
1952,matheed01,115.0,Eddie,Mathews,Eddie Mathews,10380.0,1.1078998073217727
1953,bilkost01,125.0,Steve,Bilko,Steve Bilko,10213.0,1.2239302849309703
